"id","filename","link","response code","response text","title","content-type","screen shot","archived","internet archive response code","internet archive response text","wayback earliest date","internet archive earliest","wayback latest date","internet archive latest","internet archive save link","protocol error","protocol error","analysis version number","analysis version text","stats creation time"
"6526eaeb13387833933735a7beae9806","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.getpixel.net","200","OK","","text/html","snapshots are not currently enabled","true","302","Found","13 October 2005","http://web.archive.org/web/20051013071623/http://www.getpixel.net:80/","03 July 2017","http://web.archive.org/web/20170703041449/http://www.getpixel.net/","http://web.archive.org/save/http://www.getpixel.net","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.133740703s"
"1e7ea386f25b29165cd5ad55c3c5e2be","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.pandasoftware.com","206","Partial Content","antivirus for windows, mac and android - panda security","text/html; charset=utf-8","snapshots are not currently enabled","true","302","Found","24 December 1997","http://web.archive.org/web/19971224051547/http://pandasoftware.com:80/","03 July 2017","http://web.archive.org/web/20170703113612/http://www.pandasoftware.com/","http://web.archive.org/save/http://www.pandasoftware.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.393369807s"
"6645ae692731e6f0eba0a64f8b663ac9","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.mynewbritain.com","200","OK","mynewbritain.com","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","12 November 2004","http://web.archive.org/web/20041112050220/http://www.mynewbritain.com:80/","17 January 2017","http://web.archive.org/web/20170117180232/http://www.mynewbritain.com/","http://web.archive.org/save/http://www.mynewbritain.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.777061776s"
"7e676b2b510dd747b6ef1c10c0b31011","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.sillyant.com/?src=1M","200","OK","sillyant.com","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","18 September 2006","http://web.archive.org/web/20060918202041/http://www.sillyant.com:80/?src=1M","28 October 2016","http://web.archive.org/web/20161028004811/http://www.sillyant.com/?src=1M","http://web.archive.org/save/http://www.sillyant.com/?src=1M","","","0.0.6","exponentialDK-httpreserve/0.0.6","919.858936ms"
"51e69d375a9c0801151803acc2871ece","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.frozenweb.co.uk","200","OK","portal home - frozenweb","text/html; charset=utf-8","snapshots are not currently enabled","true","302","Found","10 May 2004","http://web.archive.org/web/20040510012211/http://www.frozenweb.co.uk:80/","02 July 2017","http://web.archive.org/web/20170702122153/http://www.frozenweb.co.uk/","http://web.archive.org/save/http://www.frozenweb.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","727.272549ms"
"a2d62f13b28a26443702e42d70c6454c","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.fastminimoto.co.uk","206","Partial Content","","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","01 October 2005","http://web.archive.org/web/20051001031508/http://www.fastminimoto.co.uk:80/","02 July 2017","http://web.archive.org/web/20170702132620/http://www.fastminimoto.co.uk/","http://web.archive.org/save/http://www.fastminimoto.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","27.249724394s"
"58f521c15bc8f62f42d31dcfe99073ba","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.hamsterland.com/million.asp","200","OK","hamster land: homepage, hamsters, hamster cage, feed","text/html","snapshots are not currently enabled","true","302","Found","30 September 2005","http://web.archive.org/web/20050930210911/http://www.hamsterland.com:80/million.asp","04 July 2017","http://web.archive.org/web/20170704013248/http://www.hamsterland.com/million.asp","http://web.archive.org/save/http://www.hamsterland.com/million.asp","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.518918339s"
"eafc0f79a3e75a15940aa38e7d1d94d7","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.rentclicks.com","0","client request failed: client.Do failed: Get http://www.rentclicks.com: net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)","","","snapshots are not currently enabled","true","302","Found","27 March 2003","http://web.archive.org/web/20030327220247/http://rentclicks.com:80/","20 September 2012","http://web.archive.org/web/20120920014538/http://www.rentclicks.com/","http://web.archive.org/save/http://www.rentclicks.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.731275787s"
"6f7b71fc041cc999ae84221468111c4a","The Million Dollar Homepage - Own a piece of internet history!.html","http://localtap.net","200","OK","localtap.net","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","13 October 2005","http://web.archive.org/web/20051013071231/http://localtap.net:80/","16 June 2016","http://web.archive.org/web/20160616180112/http://localtap.net/","http://web.archive.org/save/http://localtap.net","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.874788427s"
"8766b50ef74e9e2e90ba96500404b688","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.dreamwords.com","206","Partial Content","dreamwords - paul story","text/html","snapshots are not currently enabled","true","302","Found","06 December 2000","http://web.archive.org/web/20001206204400/http://www.dreamwords.com:80/","28 May 2017","http://web.archive.org/web/20170528204543/http://dreamwords.com/","http://web.archive.org/save/http://www.dreamwords.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.685268869s"
